aggfnoid,aggkind,aggsortop,aggfinalfn,agginitval,aggtransfn,aggmfinalfn,aggminitval,aggmtransfn,aggserialfn,aggcombinefn,aggtranstype,aggdeserialfn,aggfinalextra,aggmtranstype,aggtransspace,aggfinalmodify,aggmfinalextra,aggminvtransfn,aggmtransspace,aggmfinalmodify,aggnumdirectargs
pg_catalog.stddev,n,0,numeric_stddev_samp,NULL,int8_accum,numeric_stddev_samp,NULL,int8_accum,numeric_serialize,numeric_combine,2281,numeric_deserialize,false,2281,128,r,false,int8_accum_inv,128,r,0
pg_catalog.stddev,n,0,numeric_poly_stddev_samp,NULL,int4_accum,numeric_poly_stddev_samp,NULL,int4_accum,numeric_poly_serialize,numeric_poly_combine,2281,numeric_poly_deserialize,false,2281,48,r,false,int4_accum_inv,48,r,0
pg_catalog.stddev,n,0,numeric_poly_stddev_samp,NULL,int2_accum,numeric_poly_stddev_samp,NULL,int2_accum,numeric_poly_serialize,numeric_poly_combine,2281,numeric_poly_deserialize,false,2281,48,r,false,int2_accum_inv,48,r,0
pg_catalog.stddev,n,0,float8_stddev_samp,"{0,0,0}",float4_accum,-,NULL,-,-,float8_combine,1022,-,false,0,0,r,false,-,0,r,0
pg_catalog.stddev,n,0,float8_stddev_samp,"{0,0,0}",float8_accum,-,NULL,-,-,float8_combine,1022,-,false,0,0,r,false,-,0,r,0
pg_catalog.stddev,n,0,numeric_stddev_samp,NULL,numeric_accum,numeric_stddev_samp,NULL,numeric_accum,numeric_serialize,numeric_combine,2281,numeric_deserialize,false,2281,128,r,false,numeric_accum_inv,128,r,0
pg_catalog.bit_and,n,0,-,NULL,int2and,-,NULL,-,-,int2and,21,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_or,n,0,-,NULL,int2or,-,NULL,-,-,int2or,21,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_and,n,0,-,NULL,int4and,-,NULL,-,-,int4and,23,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_or,n,0,-,NULL,int4or,-,NULL,-,-,int4or,23,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_and,n,0,-,NULL,int8and,-,NULL,-,-,int8and,20,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_or,n,0,-,NULL,int8or,-,NULL,-,-,int8or,20,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_and,n,0,-,NULL,bitand,-,NULL,-,-,bitand,1560,-,false,0,0,r,false,-,0,r,0
pg_catalog.bit_or,n,0,-,NULL,bitor,-,NULL,-,-,bitor,1560,-,false,0,0,r,false,-,0,r,0
pg_catalog.max,n,1060,-,NULL,bpchar_larger,-,NULL,-,-,bpchar_larger,1042,-,false,0,0,r,false,-,0,r,0
pg_catalog.min,n,1058,-,NULL,bpchar_smaller,-,NULL,-,-,bpchar_smaller,1042,-,false,0,0,r,false,-,0,r,0
pg_catalog.array_agg,n,0,array_agg_finalfn,NULL,array_agg_transfn,-,NULL,-,-,-,2281,-,true,0,0,r,false,-,0,r,0
bool_and,n,58,-,NULL,booland_statefunc,bool_alltrue,NULL,bool_accum,-,booland_statefunc,16,-,false,2281,0,r,false,bool_accum_inv,16,r,0

